item_id,domain,split,condition,prompt_task,prompt,prompt_hash,response_prompt_hash,prompt_hash_match,raw_response,provider,open_question,rewritten_question,expected_mechanism,judge_reference_points,leakage_sensitive_terms,rewrite_validation,repair_attempts
fixed_q001,AI_Computing,test,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?
",16329fef37c67932,16329fef37c67932,true,It might be useful because it would enable the operator to distinguish between answers which are supported and those which are not.,unofficial_talkie_api,Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?,Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?,first searches a store of relevant records before composing a reply,"[""first searches a store of relevant records before composing a reply""]","[""answering"", ""before"", ""checks"", ""claims"", ""less"", ""likely""]","{""pass"": true}",0
fixed_q001,AI_Computing,test,rule_only,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that first searches a store of relevant records before composing a reply. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the mechanism, not on the modern name.
",538c9fc7337913fb,538c9fc7337913fb,true,"First, a method searches relevant records before composing a reply, in order to avoid unsupported answers from an automatic writing system.",unofficial_talkie_api,Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?,"Consider a method that first searches a store of relevant records before composing a reply. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the mechanism, not on the modern name.",first searches a store of relevant records before composing a reply,"[""first searches a store of relevant records before composing a reply""]","[""answering"", ""before"", ""checks"", ""claims"", ""less"", ""likely""]","{""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.25, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""generation_validation"": {""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.25, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""leakage_risk"": false, ""length_ratio"": 2.2941176470588234, ""pass"": true, ""primitive_detail"": {""rag_for_llm_hallucination"": 1.0}, ""primitive_recall"": 1.0}, ""leakage_risk"": false, ""length_ratio"": 2.2941176470588234, ""pass"": true, ""primitive_detail"": {""rag_for_llm_hallucination"": 1.0}, ""primitive_recall"": 1.0}",0
fixed_q001,AI_Computing,test,length_controlled,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the practical mechanism. neutral plain general ordinary brief careful neutral plain general
",6fa1fde11fee9e05,6fa1fde11fee9e05,true,"It might be useful because it enables the writer to concentrate on the practical mechanism, and so to avoid error.",unofficial_talkie_api,Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?,Consider the same practical situation described in plain terms. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the practical mechanism. neutral plain general ordinary brief careful neutral plain general,first searches a store of relevant records before composing a reply,"[""first searches a store of relevant records before composing a reply""]","[""answering"", ""before"", ""checks"", ""claims"", ""less"", ""likely""]","{""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.125, ""fail_reasons"": [""required_primitives_missing""], ""forbidden_terms_remaining"": [], ""generation_validation"": {""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.125, ""fail_reasons"": [""required_primitives_missing""], ""forbidden_terms_remaining"": [], ""leakage_risk"": false, ""length_ratio"": 2.235294117647059, ""pass"": false, ""primitive_detail"": {""rag_for_llm_hallucination"": 0.0}, ""primitive_recall"": 0.0}, ""leakage_risk"": false, ""length_ratio"": 2.235294117647059, ""pass"": false, ""primitive_detail"": {""rag_for_llm_hallucination"": 0.0}, ""primitive_recall"": 0.0}",0
fixed_q001,AI_Computing,test,proposed,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that first searches a store of relevant records before composing a reply. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the functional reason in ordinary terms.
",04907a0b5f1e20c8,04907a0b5f1e20c8,true,"First, because it ensures that the reply shall be relevant to the question; secondly, because it facilitates the detection of error.",unofficial_talkie_api,Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?,Consider a method that first searches a store of relevant records before composing a reply. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the functional reason in ordinary terms.,first searches a store of relevant records before composing a reply,"[""first searches a store of relevant records before composing a reply""]","[""answering"", ""before"", ""checks"", ""claims"", ""less"", ""likely""]","{""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.25, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""generation_validation"": {""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.25, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""leakage_risk"": false, ""length_ratio"": 2.235294117647059, ""pass"": true, ""primitive_detail"": {""rag_for_llm_hallucination"": 1.0}, ""primitive_recall"": 1.0}, ""leakage_risk"": false, ""length_ratio"": 2.235294117647059, ""pass"": true, ""primitive_detail"": {""rag_for_llm_hallucination"": 1.0}, ""primitive_recall"": 1.0}",0
fixed_q001,AI_Computing,test,proposed_no_validator,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that first searches a store of relevant records before composing a reply. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the functional reason in ordinary terms.
",04907a0b5f1e20c8,04907a0b5f1e20c8,true,"First, because it ensures that the reply shall be relevant to the question; secondly, because it facilitates the detection of error.",unofficial_talkie_api,Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?,Consider a method that first searches a store of relevant records before composing a reply. Why might this method be useful for reducing unsupported answers from an automatic writing system? Focus on the functional reason in ordinary terms.,first searches a store of relevant records before composing a reply,"[""first searches a store of relevant records before composing a reply""]","[""answering"", ""before"", ""checks"", ""claims"", ""less"", ""likely""]","{""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.25, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""generation_validation"": {""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.25, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""leakage_risk"": false, ""length_ratio"": 2.235294117647059, ""pass"": true, ""primitive_detail"": {""rag_for_llm_hallucination"": 1.0}, ""primitive_recall"": 1.0}, ""leakage_risk"": false, ""length_ratio"": 2.235294117647059, ""pass"": true, ""primitive_detail"": {""rag_for_llm_hallucination"": 1.0}, ""primitive_recall"": 1.0}",0
fixed_q002,AI_Computing,dev,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might GPU acceleration be useful for training a large pattern-learning calculator?
",da22b78ec4ae8e28,da22b78ec4ae8e28,true,"It might be useful because it would enable the calculator to become familiar with the mechanism of the instrument, and so facilitate learning to operate it.",unofficial_talkie_api,Why might GPU acceleration be useful for training a large pattern-learning calculator?,Why might GPU acceleration be useful for training a large pattern-learning calculator?,uses many small calculating units at the same time,"[""uses many small calculating units at the same time""]","[""after"", ""another"", ""calculations"", ""instead"", ""many"", ""parallel""]","{""pass"": true}",0
fixed_q002,AI_Computing,dev,rule_only,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that uses many small calculating units at the same time. Why might this method be useful for training a large pattern-learning calculator? Focus on the mechanism, not on the modern name.
",c1d214401566fdb2,c1d214401566fdb2,true,It might be useful because the calculator has to learn to manipulate many small units at the same time.,unofficial_talkie_api,Why might GPU acceleration be useful for training a large pattern-learning calculator?,"Consider a method that uses many small calculating units at the same time. Why might this method be useful for training a large pattern-learning calculator? Focus on the mechanism, not on the modern name.",uses many small calculating units at the same time,"[""uses many small calculating units at the same time""]","[""after"", ""another"", ""calculations"", ""instead"", ""many"", ""parallel""]","{""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.2857142857142857, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""generation_validation"": {""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.2857142857142857, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""leakage_risk"": false, ""length_ratio"": 2.8333333333333335, ""pass"": true, ""primitive_detail"": {""gpu_acceleration"": 1.0}, ""primitive_recall"": 1.0}, ""leakage_risk"": false, ""length_ratio"": 2.8333333333333335, ""pass"": true, ""primitive_detail"": {""gpu_acceleration"": 1.0}, ""primitive_recall"": 1.0}",0
fixed_q002,AI_Computing,dev,length_controlled,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider the same practical situation described in plain terms. Why might this method be useful for training a large pattern-learning calculator? Focus on the practical mechanism. neutral plain general ordinary brief careful neutral
",9b9cb37b49e075bf,9b9cb37b49e075bf,true,It might be useful because it trains a calculator to observe and remember practical mechanism.,unofficial_talkie_api,Why might GPU acceleration be useful for training a large pattern-learning calculator?,Consider the same practical situation described in plain terms. Why might this method be useful for training a large pattern-learning calculator? Focus on the practical mechanism. neutral plain general ordinary brief careful neutral,uses many small calculating units at the same time,"[""uses many small calculating units at the same time""]","[""after"", ""another"", ""calculations"", ""instead"", ""many"", ""parallel""]","{""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.0, ""fail_reasons"": [""required_primitives_missing""], ""forbidden_terms_remaining"": [], ""generation_validation"": {""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.0, ""fail_reasons"": [""required_primitives_missing""], ""forbidden_terms_remaining"": [], ""leakage_risk"": false, ""length_ratio"": 2.75, ""pass"": false, ""primitive_detail"": {""gpu_acceleration"": 0.14285714285714285}, ""primitive_recall"": 0.14285714285714285}, ""leakage_risk"": false, ""length_ratio"": 2.75, ""pass"": false, ""primitive_detail"": {""gpu_acceleration"": 0.14285714285714285}, ""primitive_recall"": 0.14285714285714285}",0
fixed_q002,AI_Computing,dev,proposed,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that uses many small calculating units at the same time. Why might this method be useful for training a large pattern-learning calculator? Focus on the functional reason in ordinary terms.
",2274bcbe9da89dcf,2274bcbe9da89dcf,true,It might be useful because it trains the calculator to work quickly and easily with a large number of small units at the same time.,unofficial_talkie_api,Why might GPU acceleration be useful for training a large pattern-learning calculator?,Consider a method that uses many small calculating units at the same time. Why might this method be useful for training a large pattern-learning calculator? Focus on the functional reason in ordinary terms.,uses many small calculating units at the same time,"[""uses many small calculating units at the same time""]","[""after"", ""another"", ""calculations"", ""instead"", ""many"", ""parallel""]","{""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.2857142857142857, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""generation_validation"": {""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.2857142857142857, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""leakage_risk"": false, ""length_ratio"": 2.75, ""pass"": true, ""primitive_detail"": {""gpu_acceleration"": 1.0}, ""primitive_recall"": 1.0}, ""leakage_risk"": false, ""length_ratio"": 2.75, ""pass"": true, ""primitive_detail"": {""gpu_acceleration"": 1.0}, ""primitive_recall"": 1.0}",0
fixed_q002,AI_Computing,dev,proposed_no_validator,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Consider a method that uses many small calculating units at the same time. Why might this method be useful for training a large pattern-learning calculator? Focus on the functional reason in ordinary terms.
",2274bcbe9da89dcf,2274bcbe9da89dcf,true,It might be useful because it trains the calculator to work quickly and easily with a large number of small units at the same time.,unofficial_talkie_api,Why might GPU acceleration be useful for training a large pattern-learning calculator?,Consider a method that uses many small calculating units at the same time. Why might this method be useful for training a large pattern-learning calculator? Focus on the functional reason in ordinary terms.,uses many small calculating units at the same time,"[""uses many small calculating units at the same time""]","[""after"", ""another"", ""calculations"", ""instead"", ""many"", ""parallel""]","{""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.2857142857142857, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""generation_validation"": {""choice_copying_score"": 0.0, ""choice_keyword_overlap_score"": 0.2857142857142857, ""fail_reasons"": [], ""forbidden_terms_remaining"": [], ""leakage_risk"": false, ""length_ratio"": 2.75, ""pass"": true, ""primitive_detail"": {""gpu_acceleration"": 1.0}, ""primitive_recall"": 1.0}, ""leakage_risk"": false, ""length_ratio"": 2.75, ""pass"": true, ""primitive_detail"": {""gpu_acceleration"": 1.0}, ""primitive_recall"": 1.0}",0
