section,metric,value
dataset,n_items,100
dataset,human_validated_count,0
length,mean_original_question_tokens,13.02
length,mean_choice_tokens,9.035
domain_count,AI_Computing,20
domain_count,Communication_Media,15
domain_count,Daily_Tech_Society,15
domain_count,Environment_Energy,15
domain_count,Medicine_Biology,20
domain_count,Transportation_Engineering,15
split_count,dev,10
split_count,test,15
split_count,train,75
answer_distribution,A,25
answer_distribution,B,25
answer_distribution,C,25
answer_distribution,D,25
rewrite_length,rule_only_mean_rewritten_tokens,34.68
leakage,rule_only_leakage_risk_count,0
choice_copying,rule_only_mean_choice_copying_score,0.0
choice_copying,rule_only_max_choice_copying_score,0.0
answer_hint,rule_only_mean_choice_keyword_overlap_score,0.16469444444444445
answer_hint,rule_only_max_choice_keyword_overlap_score,0.6666666666666666
rewrite_length,length_controlled_mean_rewritten_tokens,33.68
leakage,length_controlled_leakage_risk_count,0
choice_copying,length_controlled_mean_choice_copying_score,0.0
choice_copying,length_controlled_max_choice_copying_score,0.0
answer_hint,length_controlled_mean_choice_keyword_overlap_score,0.09411507936507936
answer_hint,length_controlled_max_choice_keyword_overlap_score,0.5555555555555556
rewrite_length,proposed_mean_rewritten_tokens,33.68
leakage,proposed_leakage_risk_count,0
choice_copying,proposed_mean_choice_copying_score,0.0
choice_copying,proposed_max_choice_copying_score,0.0
answer_hint,proposed_mean_choice_keyword_overlap_score,0.16869444444444442
answer_hint,proposed_max_choice_keyword_overlap_score,0.6666666666666666
rewrite_length,proposed_no_validator_mean_rewritten_tokens,33.68
leakage,proposed_no_validator_leakage_risk_count,0
choice_copying,proposed_no_validator_mean_choice_copying_score,0.0
choice_copying,proposed_no_validator_max_choice_copying_score,0.0
answer_hint,proposed_no_validator_mean_choice_keyword_overlap_score,0.16869444444444442
answer_hint,proposed_no_validator_max_choice_keyword_overlap_score,0.6666666666666666
length_control,mean_delta_vs_proposed_tokens,0.0
length_control,max_abs_delta_vs_proposed_tokens,0
length_control,mean_ratio_to_proposed,1.0
proposed_difference,rewrite_differs_from_rule_only_rate,1.0
proposed_difference,primitive_set_differs_from_rule_only_rate,0.01
proposed_difference,mean_autoencoder_added_primitives,0.01
