item_id,id,domain,split,condition,prompt,prompt_hash,original_question,rewritten_question,choices,choice_A,choice_B,choice_C,choice_D,gold_answer,gold_anachronism_terms,forbidden_terms,required_primitives,primitive_phrase,human_validated,detected_terms,detector_token_scores,mapped_primitives,model_info,rewrite_validation,repair_attempts,pass_validation
fixed_q001,fixed_q001,AI_Computing,test,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A team is working on reducing unsupported answers from an automatic writing system. Which explanation best supports using RAG for LLM hallucination?

Choices:
A. It reduces error by using independent observations together.
B. It adds or removes remote capacity without owning every machine locally.
C. It checks outside records before answering, so unsupported claims are less likely.
D. It makes past versions recoverable and conflicting edits visible.
",c2e4cef4dc6da98f,A team is working on reducing unsupported answers from an automatic writing system. Which explanation best supports using RAG for LLM hallucination?,A team is working on reducing unsupported answers from an automatic writing system. Which explanation best supports using RAG for LLM hallucination?,"{""A"": ""It reduces error by using independent observations together."", ""B"": ""It adds or removes remote capacity without owning every machine locally."", ""C"": ""It checks outside records before answering, so unsupported claims are less likely."", ""D"": ""It makes past versions recoverable and conflicting edits visible.""}",It reduces error by using independent observations together.,It adds or removes remote capacity without owning every machine locally.,"It checks outside records before answering, so unsupported claims are less likely.",It makes past versions recoverable and conflicting edits visible.,C,"[""RAG"", ""LLM"", ""hallucination""]","[""RAG for LLM hallucination"", ""RAG"", ""LLM"", ""hallucination""]","[""rag_for_llm_hallucination""]",first searches a store of relevant records before composing a reply,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q002,fixed_q002,AI_Computing,dev,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Consider the use of GPU acceleration for training a large pattern-learning calculator. What is its most relevant advantage?

Choices:
A. It adds or removes remote capacity without owning every machine locally.
B. It combines many small weighted signals into a prediction.
C. It reduces error by using independent observations together.
D. It performs many similar calculations in parallel instead of one after another.
",ab7cfb106d747f8e,Consider the use of GPU acceleration for training a large pattern-learning calculator. What is its most relevant advantage?,Consider the use of GPU acceleration for training a large pattern-learning calculator. What is its most relevant advantage?,"{""A"": ""It adds or removes remote capacity without owning every machine locally."", ""B"": ""It combines many small weighted signals into a prediction."", ""C"": ""It reduces error by using independent observations together."", ""D"": ""It performs many similar calculations in parallel instead of one after another.""}",It adds or removes remote capacity without owning every machine locally.,It combines many small weighted signals into a prediction.,It reduces error by using independent observations together.,It performs many similar calculations in parallel instead of one after another.,D,"[""GPU""]","[""GPU acceleration"", ""GPU""]","[""gpu_acceleration""]",uses many small calculating units at the same time,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q003,fixed_q003,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which mechanism explains why API can help with letting two software services cooperate?

Choices:
A. It gives both systems a stable contract for requests and replies.
B. It marks likely unwanted messages before they reach the reader.
C. It groups texts by language evidence rather than manual reading alone.
D. It cuts delay by avoiding a long trip to a remote machine.
",1574243d0c7904f8,Which mechanism explains why API can help with letting two software services cooperate?,Which mechanism explains why API can help with letting two software services cooperate?,"{""A"": ""It gives both systems a stable contract for requests and replies."", ""B"": ""It marks likely unwanted messages before they reach the reader."", ""C"": ""It groups texts by language evidence rather than manual reading alone."", ""D"": ""It cuts delay by avoiding a long trip to a remote machine.""}",It gives both systems a stable contract for requests and replies.,It marks likely unwanted messages before they reach the reader.,It groups texts by language evidence rather than manual reading alone.,It cuts delay by avoiding a long trip to a remote machine.,A,"[""API""]","[""API""]","[""api""]",offers a published set of commands that one machine can use to request work from another,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q004,fixed_q004,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A decision-maker is comparing methods for finding records in a huge table. Why might database index be selected?

Choices:
A. It keeps the program environment consistent across machines.
B. It avoids inspecting every record one by one.
C. It converts images of letters into machine-readable characters.
D. It combines many small weighted signals into a prediction.
",1aba24144816f075,A decision-maker is comparing methods for finding records in a huge table. Why might database index be selected?,A decision-maker is comparing methods for finding records in a huge table. Why might database index be selected?,"{""A"": ""It keeps the program environment consistent across machines."", ""B"": ""It avoids inspecting every record one by one."", ""C"": ""It converts images of letters into machine-readable characters."", ""D"": ""It combines many small weighted signals into a prediction.""}",It keeps the program environment consistent across machines.,It avoids inspecting every record one by one.,It converts images of letters into machine-readable characters.,It combines many small weighted signals into a prediction.,B,"[""database index"", ""database""]","[""database index"", ""database""]","[""database_index""]",keeps a smaller ordered guide to where records are stored,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q005,fixed_q005,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
What practical benefit does cloud computing provide when the goal is handling sudden demand for computation?

Choices:
A. It checks outside records before answering, so unsupported claims are less likely.
B. It avoids inspecting every record one by one.
C. It adds or removes remote capacity without owning every machine locally.
D. It gives both systems a stable contract for requests and replies.
",46e4a81931c22712,What practical benefit does cloud computing provide when the goal is handling sudden demand for computation?,What practical benefit does cloud computing provide when the goal is handling sudden demand for computation?,"{""A"": ""It checks outside records before answering, so unsupported claims are less likely."", ""B"": ""It avoids inspecting every record one by one."", ""C"": ""It adds or removes remote capacity without owning every machine locally."", ""D"": ""It gives both systems a stable contract for requests and replies.""}","It checks outside records before answering, so unsupported claims are less likely.",It avoids inspecting every record one by one.,It adds or removes remote capacity without owning every machine locally.,It gives both systems a stable contract for requests and replies.,C,"[""cloud computing"", ""cloud""]","[""cloud computing"", ""cloud""]","[""cloud_computing""]",rents distant computing machines as needed,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q006,fixed_q006,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Suppose a system must handle finding useful pages in a vast electronic library. Which statement best explains the role of search engine?

Choices:
A. It converts images of letters into machine-readable characters.
B. It represents the same information with fewer symbols.
C. It avoids inspecting every record one by one.
D. It orders many records by signals of relevance.
",a494b70f36ee6a1b,Suppose a system must handle finding useful pages in a vast electronic library. Which statement best explains the role of search engine?,Suppose a system must handle finding useful pages in a vast electronic library. Which statement best explains the role of search engine?,"{""A"": ""It converts images of letters into machine-readable characters."", ""B"": ""It represents the same information with fewer symbols."", ""C"": ""It avoids inspecting every record one by one."", ""D"": ""It orders many records by signals of relevance.""}",It converts images of letters into machine-readable characters.,It represents the same information with fewer symbols.,It avoids inspecting every record one by one.,It orders many records by signals of relevance.,D,"[""search engine""]","[""search engine""]","[""search_engine""]",matches a query against a large catalog and ranks likely useful records,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q007,fixed_q007,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
In a discussion about protecting a private message sent across a public network, which account of encryption is the most accurate?

Choices:
A. It keeps intercepted text unintelligible to outsiders.
B. It groups texts by language evidence rather than manual reading alone.
C. It makes past versions recoverable and conflicting edits visible.
D. It checks outside records before answering, so unsupported claims are less likely.
",a6a41cfacdabb043,"In a discussion about protecting a private message sent across a public network, which account of encryption is the most accurate?","In a discussion about protecting a private message sent across a public network, which account of encryption is the most accurate?","{""A"": ""It keeps intercepted text unintelligible to outsiders."", ""B"": ""It groups texts by language evidence rather than manual reading alone."", ""C"": ""It makes past versions recoverable and conflicting edits visible."", ""D"": ""It checks outside records before answering, so unsupported claims are less likely.""}",It keeps intercepted text unintelligible to outsiders.,It groups texts by language evidence rather than manual reading alone.,It makes past versions recoverable and conflicting edits visible.,"It checks outside records before answering, so unsupported claims are less likely.",A,"[""encryption""]","[""encryption""]","[""encryption""]",transforms a message into a form readable only with a secret key,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q008,fixed_q008,AI_Computing,test,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Why would a specialist consider machine learning when working on improving predictions from examples?

Choices:
A. It avoids recomputing or refetching the same result.
B. It learns recurring patterns from past examples.
C. It keeps intercepted text unintelligible to outsiders.
D. It uses preference patterns to rank likely useful items.
",719f63d3809b7ee9,Why would a specialist consider machine learning when working on improving predictions from examples?,Why would a specialist consider machine learning when working on improving predictions from examples?,"{""A"": ""It avoids recomputing or refetching the same result."", ""B"": ""It learns recurring patterns from past examples."", ""C"": ""It keeps intercepted text unintelligible to outsiders."", ""D"": ""It uses preference patterns to rank likely useful items.""}",It avoids recomputing or refetching the same result.,It learns recurring patterns from past examples.,It keeps intercepted text unintelligible to outsiders.,It uses preference patterns to rank likely useful items.,B,"[""machine learning""]","[""machine learning""]","[""machine_learning""]",adjusts its rules after seeing many labelled cases,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q009,fixed_q009,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
Which statement best describes how neural network contributes to recognizing complex patterns in data?

Choices:
A. It makes later alteration easy to detect.
B. It uses preference patterns to rank likely useful items.
C. It combines many small weighted signals into a prediction.
D. It keeps the program environment consistent across machines.
",9329cd52adc3ce56,Which statement best describes how neural network contributes to recognizing complex patterns in data?,Which statement best describes how neural network contributes to recognizing complex patterns in data?,"{""A"": ""It makes later alteration easy to detect."", ""B"": ""It uses preference patterns to rank likely useful items."", ""C"": ""It combines many small weighted signals into a prediction."", ""D"": ""It keeps the program environment consistent across machines.""}",It makes later alteration easy to detect.,It uses preference patterns to rank likely useful items.,It combines many small weighted signals into a prediction.,It keeps the program environment consistent across machines.,C,"[""neural network""]","[""neural network""]","[""neural_network""]",connects many simple adjustable units in layers,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q010,fixed_q010,AI_Computing,train,raw,"You must answer the following multiple-choice question.
Choose exactly one option among A, B, C, and D.
Return only the letter.

Question:
A project is designed around speeding up repeated computer requests. What is the main reason to include cache?

Choices:
A. It makes past versions recoverable and conflicting edits visible.
B. It gives both systems a stable contract for requests and replies.
C. It reduces error by using independent observations together.
D. It avoids recomputing or refetching the same result.
",b3ff145ec384159b,A project is designed around speeding up repeated computer requests. What is the main reason to include cache?,A project is designed around speeding up repeated computer requests. What is the main reason to include cache?,"{""A"": ""It makes past versions recoverable and conflicting edits visible."", ""B"": ""It gives both systems a stable contract for requests and replies."", ""C"": ""It reduces error by using independent observations together."", ""D"": ""It avoids recomputing or refetching the same result.""}",It makes past versions recoverable and conflicting edits visible.,It gives both systems a stable contract for requests and replies.,It reduces error by using independent observations together.,It avoids recomputing or refetching the same result.,D,"[""cache""]","[""cache""]","[""cache""]",keeps recently used results in a nearby fast store,false,[],[],[],{},"{""pass"": true}",0,true
