item_id,id,domain,split,condition,prompt_task,prompt,prompt_hash,original_question,open_question,rewritten_question,expected_mechanism,judge_reference_points,leakage_sensitive_terms,choices,choice_A,choice_B,choice_C,choice_D,gold_answer,gold_anachronism_terms,forbidden_terms,required_primitives,primitive_phrase,concept_term,task,human_validated,detected_terms,detector_token_scores,mapped_primitives,model_info,rewrite_validation,repair_attempts,pass_validation
fixed_q001,fixed_q001,AI_Computing,test,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?
",16329fef37c67932,Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?,Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?,Why might RAG for LLM hallucination be useful for reducing unsupported answers from an automatic writing system?,first searches a store of relevant records before composing a reply,"[""first searches a store of relevant records before composing a reply""]","[""answering"", ""before"", ""checks"", ""claims"", ""less"", ""likely""]","{""A"": ""It reduces error by using independent observations together."", ""B"": ""It adds or removes remote capacity without owning every machine locally."", ""C"": ""It checks outside records before answering, so unsupported claims are less likely."", ""D"": ""It makes past versions recoverable and conflicting edits visible.""}",It reduces error by using independent observations together.,It adds or removes remote capacity without owning every machine locally.,"It checks outside records before answering, so unsupported claims are less likely.",It makes past versions recoverable and conflicting edits visible.,C,"[""RAG"", ""LLM"", ""hallucination""]","[""RAG for LLM hallucination"", ""RAG"", ""LLM"", ""hallucination""]","[""rag_for_llm_hallucination""]",first searches a store of relevant records before composing a reply,RAG for LLM hallucination,reducing unsupported answers from an automatic writing system,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q002,fixed_q002,AI_Computing,dev,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might GPU acceleration be useful for training a large pattern-learning calculator?
",da22b78ec4ae8e28,Why might GPU acceleration be useful for training a large pattern-learning calculator?,Why might GPU acceleration be useful for training a large pattern-learning calculator?,Why might GPU acceleration be useful for training a large pattern-learning calculator?,uses many small calculating units at the same time,"[""uses many small calculating units at the same time""]","[""after"", ""another"", ""calculations"", ""instead"", ""many"", ""parallel""]","{""A"": ""It adds or removes remote capacity without owning every machine locally."", ""B"": ""It combines many small weighted signals into a prediction."", ""C"": ""It reduces error by using independent observations together."", ""D"": ""It performs many similar calculations in parallel instead of one after another.""}",It adds or removes remote capacity without owning every machine locally.,It combines many small weighted signals into a prediction.,It reduces error by using independent observations together.,It performs many similar calculations in parallel instead of one after another.,D,"[""GPU""]","[""GPU acceleration"", ""GPU""]","[""gpu_acceleration""]",uses many small calculating units at the same time,GPU acceleration,training a large pattern-learning calculator,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q003,fixed_q003,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might API be useful for letting two software services cooperate?
",a1da111581b5e0fd,Why might API be useful for letting two software services cooperate?,Why might API be useful for letting two software services cooperate?,Why might API be useful for letting two software services cooperate?,offers a published set of commands that one machine can use to request work from another,"[""offers a published set of commands that one machine can use to request work from another""]","[""both"", ""contract"", ""gives"", ""replies"", ""requests"", ""stable""]","{""A"": ""It gives both systems a stable contract for requests and replies."", ""B"": ""It marks likely unwanted messages before they reach the reader."", ""C"": ""It groups texts by language evidence rather than manual reading alone."", ""D"": ""It cuts delay by avoiding a long trip to a remote machine.""}",It gives both systems a stable contract for requests and replies.,It marks likely unwanted messages before they reach the reader.,It groups texts by language evidence rather than manual reading alone.,It cuts delay by avoiding a long trip to a remote machine.,A,"[""API""]","[""API""]","[""api""]",offers a published set of commands that one machine can use to request work from another,API,letting two software services cooperate,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q004,fixed_q004,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might database index be useful for finding records in a huge table?
",9b9fba7a8edc0cb0,Why might database index be useful for finding records in a huge table?,Why might database index be useful for finding records in a huge table?,Why might database index be useful for finding records in a huge table?,keeps a smaller ordered guide to where records are stored,"[""keeps a smaller ordered guide to where records are stored""]","[""avoids"", ""every"", ""inspecting""]","{""A"": ""It keeps the program environment consistent across machines."", ""B"": ""It avoids inspecting every record one by one."", ""C"": ""It converts images of letters into machine-readable characters."", ""D"": ""It combines many small weighted signals into a prediction.""}",It keeps the program environment consistent across machines.,It avoids inspecting every record one by one.,It converts images of letters into machine-readable characters.,It combines many small weighted signals into a prediction.,B,"[""database index"", ""database""]","[""database index"", ""database""]","[""database_index""]",keeps a smaller ordered guide to where records are stored,database index,finding records in a huge table,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q005,fixed_q005,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might cloud computing be useful for handling sudden demand for computation?
",fa8aabeb5d2873d0,Why might cloud computing be useful for handling sudden demand for computation?,Why might cloud computing be useful for handling sudden demand for computation?,Why might cloud computing be useful for handling sudden demand for computation?,rents distant computing machines as needed,"[""rents distant computing machines as needed""]","[""adds"", ""capacity"", ""every"", ""locally"", ""owning"", ""remote""]","{""A"": ""It checks outside records before answering, so unsupported claims are less likely."", ""B"": ""It avoids inspecting every record one by one."", ""C"": ""It adds or removes remote capacity without owning every machine locally."", ""D"": ""It gives both systems a stable contract for requests and replies.""}","It checks outside records before answering, so unsupported claims are less likely.",It avoids inspecting every record one by one.,It adds or removes remote capacity without owning every machine locally.,It gives both systems a stable contract for requests and replies.,C,"[""cloud computing"", ""cloud""]","[""cloud computing"", ""cloud""]","[""cloud_computing""]",rents distant computing machines as needed,cloud computing,handling sudden demand for computation,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q006,fixed_q006,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might search engine be useful for finding useful pages in a vast electronic library?
",10a3772b0bcf9c59,Why might search engine be useful for finding useful pages in a vast electronic library?,Why might search engine be useful for finding useful pages in a vast electronic library?,Why might search engine be useful for finding useful pages in a vast electronic library?,matches a query against a large catalog and ranks likely useful records,"[""matches a query against a large catalog and ranks likely useful records""]","[""many"", ""orders"", ""records"", ""relevance"", ""signals""]","{""A"": ""It converts images of letters into machine-readable characters."", ""B"": ""It represents the same information with fewer symbols."", ""C"": ""It avoids inspecting every record one by one."", ""D"": ""It orders many records by signals of relevance.""}",It converts images of letters into machine-readable characters.,It represents the same information with fewer symbols.,It avoids inspecting every record one by one.,It orders many records by signals of relevance.,D,"[""search engine""]","[""search engine""]","[""search_engine""]",matches a query against a large catalog and ranks likely useful records,search engine,finding useful pages in a vast electronic library,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q007,fixed_q007,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might encryption be useful for protecting a private message sent across a public network?
",ed5afae7a54b6f3f,Why might encryption be useful for protecting a private message sent across a public network?,Why might encryption be useful for protecting a private message sent across a public network?,Why might encryption be useful for protecting a private message sent across a public network?,transforms a message into a form readable only with a secret key,"[""transforms a message into a form readable only with a secret key""]","[""intercepted"", ""keeps"", ""outsiders"", ""text"", ""unintelligible""]","{""A"": ""It keeps intercepted text unintelligible to outsiders."", ""B"": ""It groups texts by language evidence rather than manual reading alone."", ""C"": ""It makes past versions recoverable and conflicting edits visible."", ""D"": ""It checks outside records before answering, so unsupported claims are less likely.""}",It keeps intercepted text unintelligible to outsiders.,It groups texts by language evidence rather than manual reading alone.,It makes past versions recoverable and conflicting edits visible.,"It checks outside records before answering, so unsupported claims are less likely.",A,"[""encryption""]","[""encryption""]","[""encryption""]",transforms a message into a form readable only with a secret key,encryption,protecting a private message sent across a public network,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q008,fixed_q008,AI_Computing,test,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might machine learning be useful for improving predictions from examples?
",17fe36e182152e1d,Why might machine learning be useful for improving predictions from examples?,Why might machine learning be useful for improving predictions from examples?,Why might machine learning be useful for improving predictions from examples?,adjusts its rules after seeing many labelled cases,"[""adjusts its rules after seeing many labelled cases""]","[""examples"", ""learns"", ""past"", ""patterns"", ""recurring""]","{""A"": ""It avoids recomputing or refetching the same result."", ""B"": ""It learns recurring patterns from past examples."", ""C"": ""It keeps intercepted text unintelligible to outsiders."", ""D"": ""It uses preference patterns to rank likely useful items.""}",It avoids recomputing or refetching the same result.,It learns recurring patterns from past examples.,It keeps intercepted text unintelligible to outsiders.,It uses preference patterns to rank likely useful items.,B,"[""machine learning""]","[""machine learning""]","[""machine_learning""]",adjusts its rules after seeing many labelled cases,machine learning,improving predictions from examples,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q009,fixed_q009,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might neural network be useful for recognizing complex patterns in data?
",208d385584b3d196,Why might neural network be useful for recognizing complex patterns in data?,Why might neural network be useful for recognizing complex patterns in data?,Why might neural network be useful for recognizing complex patterns in data?,connects many simple adjustable units in layers,"[""connects many simple adjustable units in layers""]","[""combines"", ""many"", ""prediction"", ""signals"", ""small"", ""weighted""]","{""A"": ""It makes later alteration easy to detect."", ""B"": ""It uses preference patterns to rank likely useful items."", ""C"": ""It combines many small weighted signals into a prediction."", ""D"": ""It keeps the program environment consistent across machines.""}",It makes later alteration easy to detect.,It uses preference patterns to rank likely useful items.,It combines many small weighted signals into a prediction.,It keeps the program environment consistent across machines.,C,"[""neural network""]","[""neural network""]","[""neural_network""]",connects many simple adjustable units in layers,neural network,recognizing complex patterns in data,false,[],[],[],{},"{""pass"": true}",0,true
fixed_q010,fixed_q010,AI_Computing,train,raw,open_ended_response_quality,"Answer the following question in 1-2 sentences.
Explain the practical mechanism in ordinary terms.
Do not answer with a multiple-choice letter or option label.

Question:
Why might cache be useful for speeding up repeated computer requests?
",19fcf5df513e9b9d,Why might cache be useful for speeding up repeated computer requests?,Why might cache be useful for speeding up repeated computer requests?,Why might cache be useful for speeding up repeated computer requests?,keeps recently used results in a nearby fast store,"[""keeps recently used results in a nearby fast store""]","[""avoids"", ""recomputing"", ""refetching"", ""result"", ""same""]","{""A"": ""It makes past versions recoverable and conflicting edits visible."", ""B"": ""It gives both systems a stable contract for requests and replies."", ""C"": ""It reduces error by using independent observations together."", ""D"": ""It avoids recomputing or refetching the same result.""}",It makes past versions recoverable and conflicting edits visible.,It gives both systems a stable contract for requests and replies.,It reduces error by using independent observations together.,It avoids recomputing or refetching the same result.,D,"[""cache""]","[""cache""]","[""cache""]",keeps recently used results in a nearby fast store,cache,speeding up repeated computer requests,false,[],[],[],{},"{""pass"": true}",0,true
